x,y,f
-1.5,2.0,12.5
-1.4146121956041497,2.0275444546154997,5.900136738056245
-1.283758880078248,1.632488409580234,5.239730060160218
-1.2097447664272716,1.4227950465328318,5.048518005140338
-1.1313666035916978,1.227137744263833,4.822063833246228
-1.049245725189569,1.0514783866700745,4.4438216551372145
-0.9446531104372681,0.8659105571678253,3.8516832805323675
-0.730513153846571,0.45759057750443477,3.5731712571085033
-0.7164858367007905,0.4708888921170086,3.126634791679934
-0.5446787413838368,0.2614549661688934,2.510077008575835
-0.4466239915841962,0.19194072959950603,2.0983944674880655
-0.36064715030227495,0.10199348146938547,1.9301693579459582
-0.2323510665627702,0.007794869171907345,1.732060613821452
-0.1745295285021937,0.008815836685059097,1.4263690021276334
-0.002456505362922967,-0.04638324450465929,1.2201155650464213
0.029959660562461007,-0.008641462482477852,0.9500775956901284
0.1958337316624612,0.004100879328464967,0.7639894393614081
0.22017640077217732,0.03679160580878006,0.6217812028530065
0.3982250487430627,0.11928949064075509,0.5165325685432786
0.3757168109813336,0.13186286108266262,0.39837898550478273
0.4503449256958858,0.1973604783975315,0.305091031044531
0.5328534813415299,0.2676020283489067,0.24489538657093357
0.6129339980818103,0.35676081010723165,0.18564426713026255
0.665241010319366,0.4418031621779192,0.11211870283283577
0.7097934320920634,0.49839717525182586,0.08714616542829243
0.8041725563524341,0.6283707675794836,0.07192064145159616
0.7913354848148698,0.6174890251549456,0.05114964640033874
0.8244950879270341,0.6778209340832594,0.031190543387012697
0.8909199206588617,0.7886707472756491,0.01446647786518629
0.9315550136923292,0.8621190362308081,0.007906081491301231
0.9550542650048491,0.9128716233495798,0.0020753201672208585
0.9896364098226527,0.9771902954683371,0.0005869825439893447
0.9882173920642637,0.976100640149454,0.0001612002740441095
0.9963180495589571,0.9925824026034119,1.4009059330650386e-05
0.9997536414120366,0.9994680645116177,2.1497657731561428e-07
0.9999788476720738,0.9999578263601364,4.4912579178889304e-10
0.9999959178680525,0.9999917979183508,1.680694555541447e-11
